Designator,Mid X,Mid Y,Rotation,Layer
C258,89.28,-67.79,135.0,top
C259,90.78,-69.61,270.0,top
C26,92.4,-34.05,180.0,top
C260,101.51,-63.3,90.0,top
C261,103.2,-75.15,180.0,top
C262,96.81,-68.93,45.0,top
C263,92.52,-71.16,0.0,top
C264,90.71,-75.3,90.0,top
C265,90.7,-77.84,90.0,top
C266,90.7,-80.4,90.0,top
C267,90.71,-82.95,90.0,top
C268,90.7,-85.49,90.0,top
C269,92.33,-89.82,135.0,top
C27,96.46,-35.76,135.0,top
C270,94.47,-91.96,135.0,top
C271,96.62,-94.21,135.0,top
C272,98.68,-96.27,135.0,top
C273,101.71,-100.5,45.0,top
C274,105.35,-104.95,180.0,top
C275,103.23,-98.98,45.0,top
C276,108.13,-93.93,45.0,top
C277,113.02,-88.87,45.0,top
C278,105.71,-69.96,135.0,top
C279,110.53,-75.27,135.0,top
C28,101.26,-42.9,90.0,top
C280,112.23,-76.97,135.0,top
C281,117.55,-75.36,0.0,top
C282,122.45,-75.36,0.0,top
C283,115.63,-80.43,135.0,top
C284,117.6,-82.46,135.0,top
C285,121.77,-87.01,135.0,top
C286,125.06,-90.41,135.0,top
C287,126.67,-92.07,135.0,top
C288,128.31,-93.73,135.0,top
C289,130.22,-96.01,135.0,top
C29,101.25,-47.84,90.0,top
C290,136.66,-79.2,135.0,top
C291,134.27,-76.76,135.0,top
C292,131.98,-74.43,135.0,top
C293,129.66,-72.02,135.0,top
C294,127.3,-69.62,135.0,top
C295,124.97,-67.21,135.0,top
C296,122.61,-64.77,135.0,top
C297,117.57,-63.9,180.0,top
C298,109.58,-61.07,135.0,top
C299,107.67,-59.07,135.0,top
C3,133.335,-6.87,0.0,top
C30,94.77,-52.06,135.0,top
C300,106.71,-53.88,45.0,top
C301,101.34,-56.15,90.0,top
C302,101.24,-52.2,90.0,top
C303,107.34,-50.45,0.0,top
C304,110.85,-54.07,180.0,top
C305,113.91,-54.06,180.0,top
C306,116.03,-51.28,0.0,top
C307,118.06,-56.44,135.0,top
C308,122.93,-55.86,225.0,top
C309,125.43,-53.21,225.0,top
C31,92.93,-50.22,135.0,top
C310,130.85,-51.04,180.0,top
C311,135.91,-51.05,180.0,top
C312,145.92,-49.97,225.0,top
C313,147.21,-48.67,225.0,top
C314,148.5,-47.37,225.0,top
C315,149.6,-44.15,270.0,top
C316,149.6,-42.2,270.0,top
C317,149.6,-40.22,270.0,top
C318,149.63,-35.44,270.0,top
C319,149.63,-33.58,270.0,top
C32,91.12,-48.36,135.0,top
C320,149.63,-31.76,270.0,top
C33,89.82,-47.04,315.0,top
C34,88.12,-45.55,180.0,top
C35,81.22,-46.46,135.0,top
C36,82.52,-47.17,45.0,top
C37,82.19,-53.9,180.0,top
C38,79.58,-54.76,270.0,top
C39,75.78,-50.27,180.0,top
C4,135.85,-6.87,0.0,top
C40,73.13,-50.25,180.0,top
C41,73.68,-45.08,180.0,top
C42,74.080365,-33.13,315.0,top
C43,75.74,-34.83,315.0,top
C44,78.14,-37.24,315.0,top
C45,77.71,-42.02,135.0,top
C46,82.8,-40.26,270.0,top
C47,82.81,-37.7,270.0,top
C48,82.79,-35.15,270.0,top
C49,81.0,-34.04,180.0,top
C5,138.34,-6.87,0.0,top
C50,82.79,-26.049999,270.0,top
C51,82.030365,-21.89,225.0,top
C52,85.23,-18.58,225.0,top
C53,88.38,-15.34,225.0,top
C54,92.63,-10.73,225.0,top
C55,93.95,-9.41,225.0,top
C56,95.49,-7.78,225.0,top
C57,96.88,-6.37,225.0,top
C58,99.56,-4.32,315.0,top
C59,100.47,-3.68,315.0,top
C6,140.86,-6.86,0.0,top
C60,77.9,-7.22,180.0,top
C61,69.51,-7.3,180.0,top
C62,61.099999,-7.35,180.0,top
C63,57.87,-12.14,135.0,top
C64,59.919634,-14.17,135.0,top
C65,63.93,-18.62,135.0,top
C66,64.42,-28.43,135.0,top
C67,71.83,-21.54,315.0,top
C68,74.85,-28.93,225.0,top
C69,72.51,-32.43,270.0,top
C7,143.35,-6.84,0.0,top
C70,68.9,-34.8,90.0,top
C71,68.89,-36.65,90.0,top
C72,68.9,-39.2,90.0,top
C73,69.58,-45.64,180.0,top
C74,66.05,-42.3,135.0,top
C75,63.46,-39.67,135.0,top
C76,61.17,-37.28,135.0,top
C77,59.0,-35.05,135.0,top
C78,57.69,-33.73,135.0,top
C79,56.23,-29.6,225.0,top
C8,145.835,-6.87,0.0,top
C80,58.98,-26.9,225.0,top
C81,59.66,-23.51,135.0,top
C82,58.17,-22.03,135.0,top
C83,56.72,-20.55,135.0,top
C84,55.34,-19.08,135.0,top
C85,53.87,-17.58,135.0,top
C86,51.8,-14.25,90.0,top
C87,52.91,-10.43,45.0,top
C88,58.25,-16.05,180.0,top
C89,56.74,-11.2,225.0,top
C9,131.93,-29.53,225.0,top
C90,55.78,-10.28,225.0,top
C91,54.24,-9.04,225.0,top
C92,52.63,-7.23,225.0,top
C93,51.27,-5.41,135.0,top
C94,49.85,-4.64,225.0,top
C95,48.7,-3.05,135.0,top
C96,47.35,-2.46,225.0,top
C97,33.22,-7.82,135.0,top
C98,35.01,-9.66,135.0,top
C99,36.72,-11.41,135.0,top
U1,128.335,-8.665,180.0,top
U10,128.15,-30.85,45.0,top
U100,39.95,-12.5,315.0,top
U101,41.35,-14.399999,315.0,top
U102,43.05,-16.1,315.0,top
U103,46.25,-14.25,0.0,top
U104,44.75,-17.85,315.0,top
U105,46.45,-19.6,315.0,top
U106,48.25,-21.45,315.0,top
U107,49.9,-23.15,315.0,top
U108,51.6,-24.9,315.0,top
U109,53.25,-26.6,315.0,top
U11,125.65,-33.45,45.0,top
U110,53.6,-29.799999,225.0,top
U111,52.1,-32.45,270.0,top
U112,52.1,-37.4,270.0,top
U113,52.1,-42.4,270.0,top
U114,54.95,-45.8,45.0,top
U115,60.9,-43.85,0.0,top
U116,62.4,-46.4,315.0,top
U117,65.05,-48.45,270.0,top
U118,67.65,-52.5,0.0,top
U119,65.05,-52.5,270.0,top
U12,123.1,-36.0,45.0,top
U120,62.5,-54.0,270.0,top
U121,65.05,-55.95,270.0,top
U122,61.05,-58.75,180.0,top
U123,59.52,-59.5,0.0,top
U124,58.01,-58.99,180.0,top
U125,56.15,-59.0,180.0,top
U126,52.9,-58.95,0.0,top
U127,53.45,-64.0,270.0,top
U128,53.45,-68.2,270.0,top
U129,55.45,-68.2,0.0,top
U13,120.6,-38.6,45.0,top
U130,53.45,-70.0,270.0,top
